date,kmwiki (100+),kmwiki (5+),kmwiki (all)
2012/08/19,2,31,73
2012/08/20,2,31,73
2012/08/21,2,30,72
2012/08/22,2,28,79
2012/08/23,2,32,83
2012/08/24,2,45,90
2012/08/25,2,46,90
2012/08/26,2,44,88
2012/08/27,2,36,82
2012/08/28,2,36,82
2012/08/29,2,36,83
2012/08/30,2,36,84
2012/08/31,2,36,82
2012/09/01,2,37,83
2012/09/02,2,38,83
2012/09/03,2,38,82
2012/09/04,2,39,83
2012/09/05,2,38,82
2012/09/06,2,39,81
2012/09/07,3,39,81
2012/09/08,3,38,80
2012/09/09,2,38,78
2012/09/10,2,38,78
2012/09/11,2,39,80
2012/09/12,2,39,79
2012/09/13,3,39,80
2012/09/14,3,39,79
2012/09/15,3,38,78
2012/09/16,2,38,77
2012/09/17,2,39,77
2012/09/18,3,39,76
2012/09/19,2,38,75
2012/09/20,2,38,75
2012/09/21,2,39,72
2012/09/22,2,37,69
2012/09/23,2,22,48
2012/09/24,2,20,45
2012/09/25,2,19,46
2012/09/26,2,20,46
2012/09/27,2,21,47
2012/09/28,3,21,44
2012/09/29,4,20,44
2012/09/30,4,21,45
2012/10/01,4,20,44
2012/10/02,4,21,45
2012/10/03,4,21,44
2012/10/04,2,21,43
2012/10/05,3,20,41
2012/10/06,3,20,41
2012/10/07,3,20,42
2012/10/08,3,20,42
2012/10/09,2,21,42
2012/10/10,3,21,42
2012/10/11,3,20,44
2012/10/12,2,21,44
2012/10/13,2,21,41
2012/10/14,2,21,41
2012/10/15,2,22,43
2012/10/16,2,22,44
2012/10/17,3,22,46
2012/10/18,2,23,48
2012/10/19,2,22,48
2012/10/20,2,22,50
2012/10/21,2,22,51
2012/10/22,2,22,52
2012/10/23,2,23,52
2012/10/24,2,23,53
2012/10/25,3,22,54
2012/10/26,2,21,55
2012/10/27,3,21,54
2012/10/28,3,21,55
2012/10/29,2,21,54
2012/10/30,2,21,54
2012/10/31,2,21,54
2012/11/01,1,21,53
2012/11/02,1,22,53
2012/11/03,1,21,52
2012/11/04,1,21,54
2012/11/05,1,21,55
2012/11/06,1,21,55
2012/11/07,1,21,55
2012/11/08,1,22,56
2012/11/09,1,22,55
2012/11/10,1,22,52
2012/11/11,1,22,53
2012/11/12,1,21,53
2012/11/13,1,21,52
2012/11/14,1,20,50
2012/11/15,1,19,51
2012/11/16,1,19,51
2012/11/17,1,18,49
2012/11/18,1,17,48
2012/11/19,1,15,46
2012/11/20,1,16,45
2012/11/21,1,16,43
2012/11/22,1,15,43
2012/11/23,1,16,45
2012/11/24,1,17,43
2012/11/25,1,17,42
2012/11/26,1,17,44
2012/11/27,1,17,41
2012/11/28,1,17,42
2012/11/29,1,17,41
2012/11/30,1,17,41
2012/12/01,1,17,42
2012/12/02,1,17,43
2012/12/03,1,18,44
2012/12/04,1,19,50
2012/12/05,1,19,48
2012/12/06,1,20,48
2012/12/07,1,20,51
2012/12/08,1,20,49
2012/12/09,,20,49
2012/12/10,,20,51
2012/12/11,,20,52
2012/12/12,,20,51
2012/12/13,,19,52
2012/12/14,,19,55
2012/12/15,,19,56
2012/12/16,,19,55
2012/12/17,,19,57
2012/12/18,,20,57
2012/12/19,,21,61
2012/12/20,,22,62
2012/12/21,,23,65
2012/12/22,,24,66
2012/12/23,,24,65
2012/12/24,,24,67
2012/12/25,,23,67
2012/12/26,,23,69
2012/12/27,,24,70
2012/12/28,,25,74
2012/12/29,,25,75
2012/12/30,,26,75
2012/12/31,,26,75
2013/01/01,1,26,77
2013/01/02,1,27,77
2013/01/03,1,31,74
2013/01/04,,31,77
2013/01/05,,33,80
2013/01/06,,32,78
2013/01/07,,31,80
2013/01/08,,32,83
2013/01/09,,36,84
2013/01/10,1,36,84
2013/01/11,1,35,87
2013/01/12,1,35,87
2013/01/13,1,37,84
2013/01/14,1,37,85
2013/01/15,1,37,84
2013/01/16,1,37,84
2013/01/17,1,36,83
2013/01/18,1,38,86
2013/01/19,1,39,86
2013/01/20,1,38,85
2013/01/21,2,39,83
2013/01/22,2,36,83
2013/01/23,2,35,85
2013/01/24,2,34,84
2013/01/25,3,34,83
2013/01/26,3,35,81
2013/01/27,3,33,81
2013/01/28,3,33,79
2013/01/29,3,33,79
2013/01/30,3,32,80
2013/01/31,3,32,80
2013/02/01,3,31,76
2013/02/02,3,31,77
2013/02/03,3,29,73
2013/02/04,3,28,71
2013/02/05,3,28,72
2013/02/06,2,29,70
2013/02/07,2,29,72
2013/02/08,2,29,69
2013/02/09,2,28,68
2013/02/10,3,28,69
2013/02/11,4,29,70
2013/02/12,4,30,71
2013/02/13,3,34,78
2013/02/14,3,35,78
2013/02/15,3,36,79
2013/02/16,3,36,80
2013/02/17,3,34,74
2013/02/18,3,34,75
2013/02/19,3,35,76
2013/02/20,3,36,77
2013/02/21,3,35,78
2013/02/22,3,36,79
2013/02/23,3,36,80
2013/02/24,3,36,79
2013/02/25,3,36,77
2013/02/26,3,37,76
2013/02/27,3,37,79
2013/02/28,3,37,82
2013/03/01,3,36,80
2013/03/02,3,35,81
2013/03/03,3,35,81
2013/03/04,3,35,84
2013/03/05,3,36,84
2013/03/06,3,36,84
2013/03/07,2,35,84
2013/03/08,3,34,85
2013/03/09,3,35,85
2013/03/10,4,34,84
2013/03/11,3,34,86
2013/03/12,4,33,85
2013/03/13,4,32,83
2013/03/14,4,31,83
2013/03/15,4,28,76
2013/03/16,4,26,73
2013/03/17,4,25,72
2013/03/18,4,25,73
2013/03/19,4,31,79
2013/03/20,4,35,80
2013/03/21,3,34,79
2013/03/22,3,34,77
2013/03/23,3,33,74
2013/03/24,3,34,73
2013/03/25,3,36,75
2013/03/26,3,39,77
2013/03/27,3,45,83
2013/03/28,3,44,81
2013/03/29,3,44,82
2013/03/30,3,45,81
2013/03/31,3,42,81
2013/04/01,3,42,85
2013/04/02,3,41,86
2013/04/03,3,38,84
2013/04/04,3,39,83
2013/04/05,3,37,78
2013/04/06,3,37,77
2013/04/07,3,37,76
2013/04/08,3,38,75
2013/04/09,3,38,75
2013/04/10,3,37,74
2013/04/11,2,37,74
2013/04/12,2,37,75
2013/04/13,2,37,75
2013/04/14,2,36,77
2013/04/15,2,37,75
2013/04/16,2,38,76
2013/04/17,1,38,75
2013/04/18,1,38,75
2013/04/19,1,39,76
2013/04/20,1,39,75
2013/04/21,2,40,75
2013/04/22,2,40,74
2013/04/23,2,39,76
2013/04/24,2,38,76
2013/04/25,2,36,76
2013/04/26,2,20,64
2013/04/27,2,18,60
2013/04/28,2,18,56
2013/04/29,2,18,53
2013/04/30,2,17,55
2013/05/01,2,16,49
2013/05/02,2,15,50
2013/05/03,2,14,49
2013/05/04,2,14,47
2013/05/05,2,14,46
2013/05/06,2,15,47
2013/05/07,2,15,46
2013/05/08,2,14,46
2013/05/09,2,14,46
2013/05/10,2,13,45
2013/05/11,2,13,45
2013/05/12,2,13,45
2013/05/13,2,13,44
2013/05/14,2,13,44
2013/05/15,2,12,43
2013/05/16,2,11,44
2013/05/17,2,11,43
2013/05/18,1,10,43
2013/05/19,1,9,42
2013/05/20,1,10,43
2013/05/21,,10,44
2013/05/22,,9,42
2013/05/23,,9,40
2013/05/24,,8,36
2013/05/25,,8,33
2013/05/26,,7,34
2013/05/27,,7,34
2013/05/28,,7,33
2013/05/29,,7,32
2013/05/30,,6,27
2013/05/31,,6,27
2013/06/01,1,6,25
2013/06/02,1,6,27
2013/06/03,1,6,27
2013/06/04,1,6,28
2013/06/05,1,4,28
2013/06/06,1,4,28
2013/06/07,1,4,28
2013/06/08,1,5,29
2013/06/09,1,6,29
2013/06/10,1,6,27
2013/06/11,1,6,26
2013/06/12,1,6,28
2013/06/13,1,6,28
2013/06/14,1,6,28
2013/06/15,1,5,27
2013/06/16,1,5,27
2013/06/17,1,5,27
2013/06/18,1,5,28
2013/06/19,1,4,27
2013/06/20,1,4,26
2013/06/21,1,4,26
2013/06/22,1,4,27
2013/06/23,1,4,27
2013/06/24,1,4,27
2013/06/25,1,4,26
2013/06/26,1,5,26
2013/06/27,1,5,26
2013/06/28,1,5,27
2013/06/29,1,5,28
2013/06/30,1,6,29
2013/07/01,2,7,29
2013/07/02,2,6,28
2013/07/03,2,6,29
2013/07/04,2,6,29
2013/07/05,2,6,28
2013/07/06,2,6,28
2013/07/07,2,7,29
2013/07/08,2,7,29
2013/07/09,2,7,29
2013/07/10,2,7,28
2013/07/11,2,7,28
2013/07/12,2,7,27
2013/07/13,2,6,27
2013/07/14,2,6,27
2013/07/15,2,6,31
2013/07/16,2,6,30
2013/07/17,2,6,29
2013/07/18,2,6,29
2013/07/19,2,6,29
2013/07/20,2,6,29
2013/07/21,2,6,30
2013/07/22,2,6,31
2013/07/23,2,7,33
2013/07/24,2,7,32
2013/07/25,2,7,32
2013/07/26,2,6,31
2013/07/27,2,6,30
2013/07/28,2,6,29
2013/07/29,2,6,31
2013/07/30,2,6,31
2013/07/31,2,5,30
2013/08/01,2,5,31
2013/08/02,2,5,29
2013/08/03,2,5,28
2013/08/04,2,5,28
2013/08/05,2,5,28
2013/08/06,2,6,32
2013/08/07,2,7,32
2013/08/08,2,8,32
2013/08/09,2,9,33
2013/08/10,2,10,36
2013/08/11,1,10,36
2013/08/12,1,11,37
2013/08/13,1,11,38
2013/08/14,1,12,33
2013/08/15,1,11,33
2013/08/16,1,11,34
2013/08/17,1,13,34
2013/08/18,1,13,34
2013/08/19,1,13,35
2013/08/20,1,14,34
2013/08/21,1,14,33
2013/08/22,1,14,32
2013/08/23,2,14,31
2013/08/24,2,15,32
2013/08/25,2,15,32
2013/08/26,2,15,32
2013/08/27,2,15,32
2013/08/28,2,16,30
2013/08/29,2,17,30
2013/08/30,2,17,31
2013/08/31,2,17,30
2013/09/01,2,16,32
2013/09/02,2,15,32
2013/09/03,2,16,33
2013/09/04,2,16,33
2013/09/05,3,15,29
2013/09/06,3,15,29
2013/09/07,3,15,28
2013/09/08,3,15,28
2013/09/09,3,14,25
2013/09/10,3,13,25
2013/09/11,3,12,23
2013/09/12,3,12,22
2013/09/13,3,11,23
2013/09/14,3,12,24
2013/09/15,3,13,24
2013/09/16,2,11,25
2013/09/17,2,11,25
2013/09/18,2,11,27
2013/09/19,2,11,28
2013/09/20,2,11,28
2013/09/21,2,11,28
2013/09/22,2,10,28
2013/09/23,2,10,30
2013/09/24,2,10,31
2013/09/25,2,9,29
2013/09/26,2,10,29
2013/09/27,2,10,29
2013/09/28,2,9,30
2013/09/29,2,8,28
2013/09/30,2,8,30
2013/10/01,2,7,28
2013/10/02,2,7,27
2013/10/03,2,7,28
2013/10/04,2,7,27
2013/10/05,1,7,27
2013/10/06,1,6,25
2013/10/07,1,6,26
2013/10/08,1,7,26
2013/10/09,1,7,27
2013/10/10,1,7,28
2013/10/11,1,7,29
2013/10/12,1,7,30
2013/10/13,1,7,29
2013/10/14,1,7,28
2013/10/15,1,7,28
2013/10/16,1,5,29
2013/10/17,1,5,29
2013/10/18,1,5,30
2013/10/19,1,6,28
2013/10/20,1,6,29
2013/10/21,1,6,30
2013/10/22,1,7,30
2013/10/23,1,7,28
2013/10/24,1,8,29
2013/10/25,1,8,30
2013/10/26,1,8,29
2013/10/27,1,10,34
2013/10/28,1,10,37
2013/10/29,1,10,36
2013/10/30,1,10,35
2013/10/31,1,10,36
2013/11/01,1,11,36
2013/11/02,1,11,36
2013/11/03,1,11,36
2013/11/04,1,11,36
2013/11/05,1,11,37
2013/11/06,1,11,36
2013/11/07,1,11,37
2013/11/08,1,12,39
2013/11/09,1,12,38
2013/11/10,1,12,38
2013/11/11,1,12,37
2013/11/12,1,12,37
2013/11/13,1,12,37
2013/11/14,2,10,36
2013/11/15,2,11,34
2013/11/16,2,11,35
2013/11/17,2,11,35
2013/11/18,2,11,34
2013/11/19,2,10,33
2013/11/20,2,10,33
2013/11/21,2,9,33
2013/11/22,2,9,33
2013/11/23,2,8,32
2013/11/24,2,8,30
2013/11/25,2,9,33
2013/11/26,2,8,30
2013/11/27,2,8,28
2013/11/28,1,8,27
2013/11/29,1,8,25
2013/11/30,1,8,24
2013/12/01,1,7,22
2013/12/02,1,7,21
2013/12/03,1,8,23
2013/12/04,1,8,23
2013/12/05,1,8,23
2013/12/06,1,8,24
2013/12/07,1,8,24
2013/12/08,1,6,24
2013/12/09,1,6,25
2013/12/10,1,7,28
2013/12/11,1,7,28
2013/12/12,1,7,28
2013/12/13,1,7,28
2013/12/14,1,7,27
2013/12/15,1,7,27
2013/12/16,1,7,28
2013/12/17,1,8,29
2013/12/18,1,9,28
2013/12/19,1,9,29
2013/12/20,1,9,29
2013/12/21,1,9,30
2013/12/22,1,10,33
2013/12/23,1,10,33
2013/12/24,1,10,33
2013/12/25,1,10,33
2013/12/26,2,10,33
2013/12/27,2,11,34
2013/12/28,2,11,35
2013/12/29,2,11,36
2013/12/30,2,10,35
2013/12/31,2,10,36
2014/01/01,2,10,36
2014/01/02,2,10,33
2014/01/03,2,9,34
2014/01/04,2,9,38
2014/01/05,3,11,40
2014/01/06,3,12,39
2014/01/07,3,12,38
2014/01/08,3,11,37
2014/01/09,3,11,35
2014/01/10,3,12,38
2014/01/11,2,12,39
2014/01/12,2,12,38
2014/01/13,2,12,39
2014/01/14,2,11,40
2014/01/15,2,11,38
2014/01/16,2,9,37
2014/01/17,2,10,40
2014/01/18,3,10,40
2014/01/19,2,10,39
2014/01/20,2,11,44
2014/01/21,3,10,45
2014/01/22,3,12,46
2014/01/23,4,14,50
2014/01/24,4,16,49
2014/01/25,4,18,54
2014/01/26,4,17,58
2014/01/27,4,18,59
2014/01/28,4,18,59
2014/01/29,4,19,59
2014/01/30,4,19,61
2014/01/31,4,20,61
2014/02/01,4,21,64
2014/02/02,4,21,63
2014/02/03,4,22,58
2014/02/04,4,23,60
2014/02/05,4,23,62
2014/02/06,4,23,63
2014/02/07,4,23,65
2014/02/08,4,23,65
2014/02/09,4,23,62
2014/02/10,4,25,64
2014/02/11,4,27,64
2014/02/12,4,27,64
2014/02/13,4,27,63
2014/02/14,4,26,61
2014/02/15,4,26,62
2014/02/16,4,25,59
2014/02/17,4,25,58
2014/02/18,4,25,58
2014/02/19,4,24,56
2014/02/20,4,24,56
2014/02/21,4,24,57
2014/02/22,4,22,55
2014/02/23,3,22,55
2014/02/24,3,20,51
2014/02/25,2,19,49
2014/02/26,2,19,48
2014/02/27,2,19,50
2014/02/28,2,19,51
2014/03/01,2,18,49
2014/03/02,2,18,49
2014/03/03,2,16,49
2014/03/04,2,16,50
2014/03/05,2,18,52
2014/03/06,2,18,49
2014/03/07,2,18,45
2014/03/08,2,18,46
2014/03/09,2,17,47
2014/03/10,2,17,48
2014/03/11,2,16,47
2014/03/12,2,16,45
2014/03/13,1,15,45
2014/03/14,1,15,42
2014/03/15,1,14,42
2014/03/16,1,14,44
2014/03/17,1,14,43
2014/03/18,1,13,42
2014/03/19,1,12,38
2014/03/20,1,11,38
2014/03/21,1,10,36
2014/03/22,1,10,34
2014/03/23,1,11,35
2014/03/24,1,12,39
2014/03/25,1,12,40
2014/03/26,1,13,40
2014/03/27,1,13,41
2014/03/28,1,14,41
2014/03/29,1,15,39
2014/03/30,1,15,38
2014/03/31,1,17,41
2014/04/01,,17,42
2014/04/02,,17,41
2014/04/03,,16,42
2014/04/04,,15,37
2014/04/05,,15,36
2014/04/06,,15,36
2014/04/07,,13,35
2014/04/08,,13,36
2014/04/09,,13,35
2014/04/10,,13,36
2014/04/11,,13,36
2014/04/12,,13,36
2014/04/13,,13,36
2014/04/14,,15,35
2014/04/15,,16,36
2014/04/16,,16,36
2014/04/17,,16,38
2014/04/18,,16,37
2014/04/19,1,16,35
2014/04/20,1,15,36
2014/04/21,1,15,39
2014/04/22,1,16,39
2014/04/23,1,14,38
2014/04/24,1,14,38
2014/04/25,1,13,37
2014/04/26,1,13,40
2014/04/27,1,11,40
2014/04/28,1,10,40
2014/04/29,1,10,40
2014/04/30,1,9,35
2014/05/01,1,8,36
2014/05/02,1,8,36
2014/05/03,1,7,37
2014/05/04,1,7,36
2014/05/05,1,8,37
2014/05/06,1,8,36
2014/05/07,1,8,37
2014/05/08,1,8,36
2014/05/09,1,8,36
2014/05/10,1,8,35
2014/05/11,1,9,36
2014/05/12,1,8,36
2014/05/13,1,8,39
2014/05/14,1,8,42
2014/05/15,1,8,41
2014/05/16,1,9,42
2014/05/17,1,11,43
2014/05/18,1,12,43
2014/05/19,1,13,47
2014/05/20,1,15,47
2014/05/21,1,16,48
2014/05/22,1,16,48
2014/05/23,1,16,44
2014/05/24,1,16,45
2014/05/25,1,17,47
2014/05/26,1,17,45
2014/05/27,,18,48
2014/05/28,,19,50
2014/05/29,,19,49
2014/05/30,,20,49
2014/05/31,,20,47
2014/06/01,1,20,47
2014/06/02,1,20,47
2014/06/03,1,20,49
2014/06/04,1,20,49
2014/06/05,1,21,49
2014/06/06,1,23,48
2014/06/07,1,24,49
2014/06/08,1,24,49
2014/06/09,1,24,49
2014/06/10,1,24,48
2014/06/11,2,24,48
2014/06/12,2,25,48
2014/06/13,2,25,48
2014/06/14,2,24,48
2014/06/15,2,24,47
2014/06/16,1,23,46
2014/06/17,1,23,46
2014/06/18,1,23,46
2014/06/19,1,23,46
2014/06/20,1,22,45
2014/06/21,1,20,43
2014/06/22,1,20,41
2014/06/23,1,20,42
2014/06/24,1,19,41
2014/06/25,1,19,40
2014/06/26,1,18,42
2014/06/27,1,16,38
2014/06/28,1,16,39
2014/06/29,1,15,39
2014/06/30,1,16,40
2014/07/01,1,15,40
2014/07/02,,15,40
2014/07/03,,14,39
2014/07/04,,16,37
2014/07/05,,16,37
2014/07/06,,14,36
2014/07/07,,15,38
2014/07/08,,15,37
2014/07/09,,14,36
2014/07/10,1,15,35
2014/07/11,1,13,35
2014/07/12,1,12,33
2014/07/13,1,13,35
2014/07/14,1,13,36
2014/07/15,1,13,37
2014/07/16,1,13,38
2014/07/17,1,13,37
2014/07/18,1,13,36
2014/07/19,1,12,35
2014/07/20,1,12,34
2014/07/21,1,12,34
2014/07/22,1,12,34
2014/07/23,1,11,30
2014/07/24,1,11,30
2014/07/25,1,11,30
2014/07/26,1,11,27
2014/07/27,1,10,27
2014/07/28,1,10,26
2014/07/29,1,10,26
2014/07/30,1,9,26
2014/07/31,1,8,24
2014/08/01,1,9,25
2014/08/02,1,9,26
2014/08/03,1,8,25
2014/08/04,1,8,27
2014/08/05,1,9,28
2014/08/06,1,8,25
2014/08/07,1,8,24
2014/08/08,1,8,24
2014/08/09,1,7,24
2014/08/10,1,7,22
2014/08/11,1,7,22
2014/08/12,1,8,23
2014/08/13,1,8,23
2014/08/14,1,8,23
2014/08/15,1,8,22
2014/08/16,1,8,22
2014/08/17,1,10,25
2014/08/18,1,10,26
2014/08/19,1,9,27
2014/08/20,1,9,28
2014/08/21,1,9,28
2014/08/22,1,9,29
2014/08/23,1,9,29
2014/08/24,1,9,31
2014/08/25,1,9,32
