date,udmwiki (100+),udmwiki (5+),udmwiki (all)
2012/08/19,2,13,27
2012/08/20,2,13,27
2012/08/21,2,13,27
2012/08/22,2,13,28
2012/08/23,2,13,28
2012/08/24,3,13,28
2012/08/25,3,13,27
2012/08/26,3,13,26
2012/08/27,3,13,26
2012/08/28,2,13,26
2012/08/29,2,13,26
2012/08/30,2,13,29
2012/08/31,2,13,28
2012/09/01,2,13,29
2012/09/02,3,13,30
2012/09/03,3,13,31
2012/09/04,3,13,29
2012/09/05,3,13,29
2012/09/06,3,13,29
2012/09/07,3,13,29
2012/09/08,3,13,29
2012/09/09,3,13,28
2012/09/10,3,13,28
2012/09/11,3,13,26
2012/09/12,3,13,26
2012/09/13,3,13,26
2012/09/14,3,15,30
2012/09/15,3,15,29
2012/09/16,3,15,30
2012/09/17,3,14,29
2012/09/18,3,15,28
2012/09/19,3,15,28
2012/09/20,3,15,30
2012/09/21,3,14,28
2012/09/22,3,14,28
2012/09/23,3,14,28
2012/09/24,2,14,28
2012/09/25,3,14,28
2012/09/26,3,14,30
2012/09/27,3,16,32
2012/09/28,4,16,32
2012/09/29,3,16,32
2012/09/30,4,16,32
2012/10/01,4,16,29
2012/10/02,4,17,29
2012/10/03,4,16,28
2012/10/04,4,16,28
2012/10/05,4,16,27
2012/10/06,3,16,27
2012/10/07,3,16,28
2012/10/08,4,16,28
2012/10/09,4,16,28
2012/10/10,4,16,28
2012/10/11,4,16,28
2012/10/12,4,16,28
2012/10/13,4,16,28
2012/10/14,4,14,25
2012/10/15,4,13,26
2012/10/16,4,13,27
2012/10/17,4,13,30
2012/10/18,4,13,31
2012/10/19,4,14,34
2012/10/20,3,15,32
2012/10/21,4,15,33
2012/10/22,4,15,35
2012/10/23,4,15,35
2012/10/24,4,16,37
2012/10/25,4,16,39
2012/10/26,4,16,38
2012/10/27,4,15,35
2012/10/28,4,15,35
2012/10/29,5,15,35
2012/10/30,5,15,35
2012/10/31,4,15,36
2012/11/01,4,15,35
2012/11/02,4,15,37
2012/11/03,5,15,38
2012/11/04,5,15,39
2012/11/05,5,15,39
2012/11/06,5,16,39
2012/11/07,4,17,39
2012/11/08,4,17,40
2012/11/09,4,17,38
2012/11/10,4,17,38
2012/11/11,4,16,36
2012/11/12,4,16,36
2012/11/13,3,16,37
2012/11/14,4,16,36
2012/11/15,3,15,37
2012/11/16,3,15,36
2012/11/17,3,16,35
2012/11/18,3,16,34
2012/11/19,3,15,34
2012/11/20,3,16,33
2012/11/21,3,16,32
2012/11/22,3,16,32
2012/11/23,3,16,33
2012/11/24,3,16,33
2012/11/25,3,16,32
2012/11/26,3,17,31
2012/11/27,3,17,32
2012/11/28,3,17,31
2012/11/29,3,17,31
2012/11/30,3,18,31
2012/12/01,3,18,31
2012/12/02,3,18,29
2012/12/03,3,18,30
2012/12/04,3,18,31
2012/12/05,3,18,32
2012/12/06,3,17,32
2012/12/07,3,17,32
2012/12/08,3,17,33
2012/12/09,3,17,35
2012/12/10,3,17,35
2012/12/11,3,17,35
2012/12/12,3,18,36
2012/12/13,3,18,35
2012/12/14,3,18,35
2012/12/15,2,18,33
2012/12/16,2,17,31
2012/12/17,2,17,31
2012/12/18,2,17,32
2012/12/19,2,18,33
2012/12/20,2,18,32
2012/12/21,2,20,35
2012/12/22,2,20,36
2012/12/23,2,23,38
2012/12/24,2,23,37
2012/12/25,2,23,36
2012/12/26,3,23,36
2012/12/27,3,22,36
2012/12/28,2,23,38
2012/12/29,2,24,38
2012/12/30,2,25,38
2012/12/31,2,26,39
2013/01/01,2,26,39
2013/01/02,3,26,38
2013/01/03,3,26,37
2013/01/04,3,26,36
2013/01/05,2,26,35
2013/01/06,2,25,35
2013/01/07,2,25,37
2013/01/08,2,25,37
2013/01/09,2,25,36
2013/01/10,1,25,37
2013/01/11,1,23,36
2013/01/12,1,22,36
2013/01/13,1,21,36
2013/01/14,1,21,37
2013/01/15,1,21,38
2013/01/16,1,21,39
2013/01/17,1,20,37
2013/01/18,2,20,37
2013/01/19,2,20,36
2013/01/20,2,19,35
2013/01/21,2,18,35
2013/01/22,2,17,34
2013/01/23,2,17,33
2013/01/24,2,17,34
2013/01/25,3,16,35
2013/01/26,3,15,35
2013/01/27,3,13,32
2013/01/28,3,13,33
2013/01/29,3,12,35
2013/01/30,4,13,34
2013/01/31,4,13,35
2013/02/01,4,13,35
2013/02/02,4,14,35
2013/02/03,3,14,36
2013/02/04,3,14,37
2013/02/05,4,15,38
2013/02/06,3,15,37
2013/02/07,3,15,36
2013/02/08,3,14,36
2013/02/09,3,16,38
2013/02/10,3,17,38
2013/02/11,3,17,38
2013/02/12,3,16,39
2013/02/13,3,15,37
2013/02/14,3,15,34
2013/02/15,3,15,34
2013/02/16,3,15,34
2013/02/17,3,15,34
2013/02/18,4,16,35
2013/02/19,3,14,35
2013/02/20,3,15,36
2013/02/21,3,15,36
2013/02/22,3,15,38
2013/02/23,3,15,37
2013/02/24,3,15,36
2013/02/25,3,15,35
2013/02/26,3,13,34
2013/02/27,3,14,33
2013/02/28,3,14,31
2013/03/01,3,14,30
2013/03/02,3,13,28
2013/03/03,4,13,28
2013/03/04,4,13,30
2013/03/05,4,13,28
2013/03/06,4,13,28
2013/03/07,4,13,28
2013/03/08,5,14,29
2013/03/09,5,14,30
2013/03/10,5,14,30
2013/03/11,5,13,30
2013/03/12,6,13,31
2013/03/13,6,13,32
2013/03/14,5,13,39
2013/03/15,5,13,39
2013/03/16,5,13,42
2013/03/17,5,13,43
2013/03/18,5,12,42
2013/03/19,5,12,42
2013/03/20,4,12,40
2013/03/21,4,12,41
2013/03/22,4,12,41
2013/03/23,3,12,41
2013/03/24,3,13,41
2013/03/25,3,13,41
2013/03/26,3,13,41
2013/03/27,3,12,41
2013/03/28,3,11,42
2013/03/29,3,11,42
2013/03/30,3,12,47
2013/03/31,3,12,47
2013/04/01,3,11,50
2013/04/02,3,11,49
2013/04/03,3,11,48
2013/04/04,3,11,47
2013/04/05,3,10,43
2013/04/06,3,10,40
2013/04/07,3,12,40
2013/04/08,3,13,41
2013/04/09,3,12,43
2013/04/10,2,11,44
2013/04/11,2,11,44
2013/04/12,2,11,43
2013/04/13,2,10,40
2013/04/14,1,11,41
2013/04/15,1,11,40
2013/04/16,1,8,39
2013/04/17,1,9,38
2013/04/18,1,9,40
2013/04/19,,11,42
2013/04/20,,11,42
2013/04/21,,11,40
2013/04/22,,11,43
2013/04/23,,10,44
2013/04/24,,10,45
2013/04/25,,10,45
2013/04/26,,10,44
2013/04/27,,10,44
2013/04/28,,10,43
2013/04/29,,9,38
2013/04/30,1,10,39
2013/05/01,1,10,37
2013/05/02,1,10,37
2013/05/03,1,9,35
2013/05/04,1,9,36
2013/05/05,1,9,36
2013/05/06,1,9,34
2013/05/07,1,9,32
2013/05/08,1,8,32
2013/05/09,1,8,29
2013/05/10,1,8,26
2013/05/11,1,8,27
2013/05/12,1,8,27
2013/05/13,1,8,28
2013/05/14,1,7,29
2013/05/15,1,7,29
2013/05/16,1,7,29
2013/05/17,1,5,30
2013/05/18,1,4,28
2013/05/19,1,4,27
2013/05/20,1,4,27
2013/05/21,1,4,26
2013/05/22,1,4,23
2013/05/23,1,4,19
2013/05/24,1,4,19
2013/05/25,1,4,20
2013/05/26,1,4,20
2013/05/27,1,4,19
2013/05/28,1,4,20
2013/05/29,,4,19
2013/05/30,,3,17
2013/05/31,,3,17
2013/06/01,,3,18
2013/06/02,,3,18
2013/06/03,,3,17
2013/06/04,,3,17
2013/06/05,,3,16
2013/06/06,,3,16
2013/06/07,,3,16
2013/06/08,,3,17
2013/06/09,,3,17
2013/06/10,,3,16
2013/06/11,,3,16
2013/06/12,,2,16
2013/06/13,,2,15
2013/06/14,,2,15
2013/06/15,,2,16
2013/06/16,,2,15
2013/06/17,,2,15
2013/06/18,,2,16
2013/06/19,,2,17
2013/06/20,,2,16
2013/06/21,,2,16
2013/06/22,,2,17
2013/06/23,,2,16
2013/06/24,,2,15
2013/06/25,,2,14
2013/06/26,,4,17
2013/06/27,,5,18
2013/06/28,,5,18
2013/06/29,,5,17
2013/06/30,,5,17
2013/07/01,,5,18
2013/07/02,,5,19
2013/07/03,,4,18
2013/07/04,,4,18
2013/07/05,,4,18
2013/07/06,,4,19
2013/07/07,,4,20
2013/07/08,,4,19
2013/07/09,,4,19
2013/07/10,,4,19
2013/07/11,,4,19
2013/07/12,,4,19
2013/07/13,,4,20
2013/07/14,,4,20
2013/07/15,,4,19
2013/07/16,,4,19
2013/07/17,,4,19
2013/07/18,,4,18
2013/07/19,,4,17
2013/07/20,,4,17
2013/07/21,,4,17
2013/07/22,,4,16
2013/07/23,,4,16
2013/07/24,,4,14
2013/07/25,,4,14
2013/07/26,,2,11
2013/07/27,,1,9
2013/07/28,,1,9
2013/07/29,,1,9
2013/07/30,,1,9
2013/07/31,,1,8
2013/08/01,,1,7
2013/08/02,,1,7
2013/08/03,,1,7
2013/08/04,,,7
2013/08/05,,,6
2013/08/06,,,5
2013/08/07,,,6
2013/08/08,,1,6
2013/08/09,,1,6
2013/08/10,,1,5
2013/08/11,,1,5
2013/08/12,,1,4
2013/08/13,,1,5
2013/08/14,,1,5
2013/08/15,,1,5
2013/08/16,,1,5
2013/08/17,,1,5
2013/08/18,,1,5
2013/08/19,,2,6
2013/08/20,,2,6
2013/08/21,,2,6
2013/08/22,,2,6
2013/08/23,,2,7
2013/08/24,,2,7
2013/08/25,,2,7
2013/08/26,,2,8
2013/08/27,,2,7
2013/08/28,,2,6
2013/08/29,,3,7
2013/08/30,,2,6
2013/08/31,,2,6
2013/09/01,,2,6
2013/09/02,,2,6
2013/09/03,,2,6
2013/09/04,,2,6
2013/09/05,,2,6
2013/09/06,,2,6
2013/09/07,,2,6
2013/09/08,,1,5
2013/09/09,,1,5
2013/09/10,,1,5
2013/09/11,,2,6
2013/09/12,,2,5
2013/09/13,,2,6
2013/09/14,,2,7
2013/09/15,,2,7
2013/09/16,,2,7
2013/09/17,,2,7
2013/09/18,,1,7
2013/09/19,,2,8
2013/09/20,,2,10
2013/09/21,,2,10
2013/09/22,,2,9
2013/09/23,,2,9
2013/09/24,,2,9
2013/09/25,,2,8
2013/09/26,,2,8
2013/09/27,,2,9
2013/09/28,,3,10
2013/09/29,,3,10
2013/09/30,,3,10
2013/10/01,,3,10
2013/10/02,,3,11
2013/10/03,,3,11
2013/10/04,,3,11
2013/10/05,,3,12
2013/10/06,,4,13
2013/10/07,,4,13
2013/10/08,,4,14
2013/10/09,,5,15
2013/10/10,,5,15
2013/10/11,,5,15
2013/10/12,,4,15
2013/10/13,,4,15
2013/10/14,,4,13
2013/10/15,,4,13
2013/10/16,,4,13
2013/10/17,,4,13
2013/10/18,,3,14
2013/10/19,,2,14
2013/10/20,,2,11
2013/10/21,,2,11
2013/10/22,,2,12
2013/10/23,,2,12
2013/10/24,,2,12
2013/10/25,,2,12
2013/10/26,,2,12
2013/10/27,,2,11
2013/10/28,,2,10
2013/10/29,,2,11
2013/10/30,,2,11
2013/10/31,,2,11
2013/11/01,,2,11
2013/11/02,,2,11
2013/11/03,,2,11
2013/11/04,,2,10
2013/11/05,,1,11
2013/11/06,,1,11
2013/11/07,,1,10
2013/11/08,,1,11
2013/11/09,,1,11
2013/11/10,,1,11
2013/11/11,,1,10
2013/11/12,,1,9
2013/11/13,,1,9
2013/11/14,,1,10
2013/11/15,,,10
2013/11/16,,1,10
2013/11/17,,1,9
2013/11/18,,1,9
2013/11/19,,1,9
2013/11/20,,1,9
2013/11/21,,1,9
2013/11/22,,1,9
2013/11/23,,1,10
2013/11/24,,1,10
2013/11/25,,1,10
2013/11/26,,1,10
2013/11/27,,1,10
2013/11/28,,1,9
2013/11/29,,1,9
2013/11/30,,1,9
2013/12/01,,1,9
2013/12/02,,1,10
2013/12/03,,1,10
2013/12/04,,2,10
2013/12/05,,2,9
2013/12/06,,2,11
2013/12/07,,2,11
2013/12/08,,1,10
2013/12/09,,1,12
2013/12/10,,1,12
2013/12/11,,1,14
2013/12/12,,1,13
2013/12/13,,1,13
2013/12/14,,1,12
2013/12/15,,2,12
2013/12/16,,2,12
2013/12/17,,2,12
2013/12/18,,2,12
2013/12/19,,2,13
2013/12/20,,2,13
2013/12/21,,3,13
2013/12/22,,3,13
2013/12/23,,2,12
2013/12/24,,2,12
2013/12/25,,2,12
2013/12/26,,2,12
2013/12/27,,2,12
2013/12/28,,2,12
2013/12/29,,2,12
2013/12/30,,2,12
2013/12/31,,2,12
2014/01/01,,2,11
2014/01/02,,2,12
2014/01/03,,1,12
2014/01/04,,2,11
2014/01/05,,2,9
2014/01/06,,2,9
2014/01/07,,2,9
2014/01/08,,2,8
2014/01/09,,2,8
2014/01/10,,2,7
2014/01/11,,2,7
2014/01/12,,2,8
2014/01/13,,3,9
2014/01/14,,2,10
2014/01/15,,2,10
2014/01/16,,2,9
2014/01/17,,2,12
2014/01/18,,2,11
2014/01/19,,2,11
2014/01/20,,1,11
2014/01/21,,1,11
2014/01/22,,1,11
2014/01/23,,1,11
2014/01/24,,1,12
2014/01/25,,1,12
2014/01/26,,1,11
2014/01/27,,1,11
2014/01/28,,1,12
2014/01/29,,1,12
2014/01/30,,1,12
2014/01/31,,1,12
2014/02/01,,1,11
2014/02/02,,1,11
2014/02/03,,1,11
2014/02/04,,2,13
2014/02/05,,2,13
2014/02/06,,2,13
2014/02/07,,2,13
2014/02/08,,2,13
2014/02/09,,2,12
2014/02/10,,2,12
2014/02/11,,2,11
2014/02/12,,1,10
2014/02/13,,1,10
2014/02/14,,1,10
2014/02/15,,1,10
2014/02/16,,1,9
2014/02/17,,1,9
2014/02/18,,1,9
2014/02/19,,1,9
2014/02/20,,1,9
2014/02/21,,1,9
2014/02/22,,1,9
2014/02/23,,1,9
2014/02/24,,1,10
2014/02/25,,1,10
2014/02/26,,1,10
2014/02/27,,1,10
2014/02/28,,1,12
2014/03/01,,1,12
2014/03/02,,1,11
2014/03/03,,1,11
2014/03/04,,1,11
2014/03/05,,1,10
2014/03/06,,,8
2014/03/07,,,8
2014/03/08,,,8
2014/03/09,,,8
2014/03/10,,,8
2014/03/11,,,9
2014/03/12,,,9
2014/03/13,,,9
2014/03/14,,1,10
2014/03/15,,1,10
2014/03/16,,1,10
2014/03/17,,1,11
2014/03/18,,1,9
2014/03/19,,1,9
2014/03/20,,2,10
2014/03/21,,2,9
2014/03/22,,2,9
2014/03/23,,2,9
2014/03/24,,2,9
2014/03/25,,2,8
2014/03/26,,2,8
2014/03/27,,2,9
2014/03/28,,3,10
2014/03/29,,3,10
2014/03/30,,3,9
2014/03/31,,3,8
2014/04/01,,3,8
2014/04/02,,3,8
2014/04/03,,3,8
2014/04/04,,3,8
2014/04/05,,3,8
2014/04/06,,3,8
2014/04/07,,3,8
2014/04/08,,3,8
2014/04/09,,3,8
2014/04/10,,3,7
2014/04/11,,3,7
2014/04/12,,3,8
2014/04/13,,2,7
2014/04/14,,2,7
2014/04/15,,2,7
2014/04/16,,2,7
2014/04/17,,2,9
2014/04/18,,3,9
2014/04/19,,3,9
2014/04/20,,4,10
2014/04/21,,4,10
2014/04/22,,4,11
2014/04/23,,4,11
2014/04/24,,4,11
2014/04/25,,4,10
2014/04/26,,4,12
2014/04/27,,3,12
2014/04/28,,3,12
2014/04/29,,4,13
2014/04/30,,4,13
2014/05/01,,4,15
2014/05/02,,4,15
2014/05/03,,4,15
2014/05/04,,4,14
2014/05/05,,4,14
2014/05/06,,4,14
2014/05/07,,4,14
2014/05/08,,4,14
2014/05/09,,4,14
2014/05/10,,4,14
2014/05/11,,4,14
2014/05/12,,4,13
2014/05/13,,5,13
2014/05/14,,6,14
2014/05/15,,6,15
2014/05/16,,6,15
2014/05/17,,6,14
2014/05/18,,6,14
2014/05/19,,6,14
2014/05/20,,5,13
2014/05/21,,5,13
2014/05/22,,5,12
2014/05/23,,5,12
2014/05/24,,5,12
2014/05/25,,4,11
2014/05/26,,4,9
2014/05/27,,4,10
2014/05/28,,4,10
2014/05/29,,3,9
2014/05/30,,3,8
2014/05/31,,3,8
2014/06/01,,3,8
2014/06/02,,3,9
2014/06/03,,3,9
2014/06/04,,3,9
2014/06/05,,3,9
2014/06/06,,3,9
2014/06/07,,3,10
2014/06/08,,3,11
2014/06/09,,3,11
2014/06/10,,3,11
2014/06/11,,3,11
2014/06/12,,3,10
2014/06/13,,2,9
2014/06/14,,1,8
2014/06/15,,1,8
2014/06/16,,1,9
2014/06/17,,1,9
2014/06/18,,1,9
2014/06/19,,1,10
2014/06/20,,1,10
2014/06/21,,1,10
2014/06/22,,1,11
2014/06/23,,1,11
2014/06/24,,1,11
2014/06/25,,1,11
2014/06/26,,1,9
2014/06/27,,1,9
2014/06/28,,1,9
2014/06/29,,1,9
2014/06/30,,2,8
2014/07/01,,2,9
2014/07/02,,2,8
2014/07/03,,2,8
2014/07/04,,2,8
2014/07/05,,2,8
2014/07/06,,2,8
2014/07/07,,2,7
2014/07/08,,2,6
2014/07/09,,2,6
2014/07/10,,2,6
2014/07/11,,2,6
2014/07/12,,2,6
2014/07/13,,2,6
2014/07/14,,2,6
2014/07/15,,2,6
2014/07/16,,2,5
2014/07/17,,2,5
2014/07/18,,2,5
2014/07/19,,2,5
2014/07/20,,2,5
2014/07/21,,2,5
2014/07/22,,1,5
2014/07/23,,1,5
2014/07/24,,1,5
2014/07/25,,1,5
2014/07/26,,1,5
2014/07/27,,1,5
2014/07/28,,1,5
2014/07/29,,1,5
2014/07/30,,1,5
2014/07/31,,1,5
2014/08/01,,1,5
2014/08/02,,1,5
2014/08/03,,1,5
2014/08/04,,1,6
2014/08/05,,2,6
2014/08/06,,2,6
2014/08/07,,2,6
2014/08/08,,2,6
2014/08/09,,2,6
2014/08/10,,2,7
2014/08/11,,2,7
2014/08/12,,2,7
2014/08/13,,2,7
2014/08/14,,2,7
2014/08/15,,2,7
2014/08/16,,2,7
2014/08/17,,2,6
2014/08/18,,2,5
2014/08/19,1,2,5
2014/08/20,1,2,5
2014/08/21,1,2,5
2014/08/22,1,2,5
2014/08/23,1,2,5
2014/08/24,1,2,6
2014/08/25,1,2,6
2014/08/26,1,2,6
2014/08/27,1,2,7
2014/08/28,1,2,7
2014/08/29,1,2,8
2014/08/30,1,2,8
2014/08/31,1,2,8
2014/09/01,1,2,9
2014/09/02,1,2,9
2014/09/03,1,2,8
2014/09/04,1,2,8
2014/09/05,1,2,7
2014/09/06,1,2,7
2014/09/07,1,2,7
2014/09/08,1,2,7
2014/09/09,1,2,6
2014/09/10,1,2,7
2014/09/11,1,2,7
2014/09/12,1,2,7
2014/09/13,1,2,7
2014/09/14,1,2,7
2014/09/15,1,2,7
2014/09/16,1,2,8
2014/09/17,1,2,8
2014/09/18,,2,8
2014/09/19,,1,8
2014/09/20,,1,8
2014/09/21,,1,8
2014/09/22,,1,8
2014/09/23,,1,8
2014/09/24,,1,8
2014/09/25,,1,8
2014/09/26,,1,7
2014/09/27,,,6
2014/09/28,,,5
2014/09/29,,,6
2014/09/30,,,6
2014/10/01,,,6
2014/10/02,,,6
2014/10/03,,,6
2014/10/04,,,7
